Titulo,Precios,Links
Portátil Computador Dell Intel Core I3 Ssd 512gb Ram 8gb ,1.800.000,https://www.mercadolibre.com.co/portatil-computador-dell-intel-core-i3-ssd-512gb-ram-8gb/p/MCO20751465?pdp_filters=category:MCO1648#searchVariation=MCO20751465&position=14&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Todo En Uno Lenovo Amd Ryzen 3 3250u Ssd 256gb Ram 8gb Color Negro,1.728.931,https://www.mercadolibre.com.co/todo-en-uno-lenovo-amd-ryzen-3-3250u-ssd-256gb-ram-8gb-color-negro/p/MCO24104254?pdp_filters=category:MCO1648#searchVariation=MCO24104254&position=16&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portatil Hp Ryzen 5 32gb Ram 1tera Ssd Disco Win,2.649.000,https://articulo.mercadolibre.com.co/MCO-1162806849-computador-portatil-hp-ryzen-5-32gb-ram-1tera-ssd-disco-win-_JM#position=31&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Torre Cpu Gamer Ryzen 7 5700g Vega 8 1tb 32gb Pc,2.499.900,https://articulo.mercadolibre.com.co/MCO-999418729-torre-cpu-gamer-ryzen-7-5700g-vega-8-1tb-32gb-pc-_JM#position=32&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portatil Acer Intel Core I5 Ram 16gb Ssd 1000gb,2.379.000,https://articulo.mercadolibre.com.co/MCO-1358506949-computador-portatil-acer-intel-core-i5-ram-16gb-ssd-1000gb-_JM#position=33&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portatil 14.1' Laptop Intel Ram 8gb Ssd 256gb,1.149.000,https://articulo.mercadolibre.com.co/MCO-1310124991-computador-portatil-141-laptop-intel-ram-8gb-ssd-256gb-_JM#position=34&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Todo En Uno Lenovo Intel Core I5 10400t Ssd 256gb Ram 12gb Color Negro,2.871.272,https://www.mercadolibre.com.co/todo-en-uno-lenovo-intel-core-i5-10400t-ssd-256gb-ram-12gb-color-negro/p/MCO24592129?pdp_filters=category:MCO1648#searchVariation=MCO24592129&position=18&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portátil Hp Pavilion Core I5 20gb 1tera Ssd,2.599.999,https://articulo.mercadolibre.com.co/MCO-1633908160-computador-portatil-hp-pavilion-core-i5-20gb-1tera-ssd-_JM#position=35&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Intel Core I5 10400 Uhd 630 1tb 16gb Pc Led 22,1.849.900,https://articulo.mercadolibre.com.co/MCO-616828416-computador-intel-core-i5-10400-uhd-630-1tb-16gb-pc-led-22-_JM#position=36&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portátil Hp Pavilion Core I5 24gb 1tera Ssd,2.698.900,https://articulo.mercadolibre.com.co/MCO-1633811758-computador-portatil-hp-pavilion-core-i5-24gb-1tera-ssd-_JM#position=37&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portátil Acer Intel Core I3 Mem Ram 8gb Ssd 256gb,1.446.000,https://articulo.mercadolibre.com.co/MCO-1285677219-computador-portatil-acer-intel-core-i3-mem-ram-8gb-ssd-256gb-_JM#position=38&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Kit de teclado y mouse inalámbrico Logitech MK235 Español de color Gris Grafito,90.000,https://www.mercadolibre.com.co/kit-de-teclado-y-mouse-inalambrico-logitech-mk235-espanol-de-color-gris-grafito/p/MCO18610706?pdp_filters=category:MCO1648#searchVariation=MCO18610706&position=4&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portátil Hp Pavilion Core I5 Ram 8gb Disco 256 Gb,2.099.900,https://articulo.mercadolibre.com.co/MCO-1067411982-computador-portatil-hp-pavilion-core-i5-ram-8gb-disco-256-gb-_JM#position=39&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Torre Cpu Gamer Ryzen 7 5700g Vega 8 1tb 16gb Led 22 Pc,2.649.900,https://articulo.mercadolibre.com.co/MCO-657989612-torre-cpu-gamer-ryzen-7-5700g-vega-8-1tb-16gb-led-22-pc-_JM#position=40&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portatil Lenovo 14iau7 Core I5 12ava 8gb 512gb,1.781.919,https://articulo.mercadolibre.com.co/MCO-1876419430-computador-portatil-lenovo-14iau7-core-i5-12ava-8gb-512gb-_JM#position=41&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Todo En Uno Lenovo Intel Core I3-1215u Ssd 512gb Ram 8gb Led 24 Fhd,2.039.900,https://www.mercadolibre.com.co/todo-en-uno-lenovo-intel-core-i3-1215u-ssd-512gb-ram-8gb-led-24-fhd/p/MCO27820010?pdp_filters=category:MCO1648#searchVariation=MCO27820010&position=5&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portatil Hp Ryzen 5 16gb Ram 500gb Ssd Disco Win,1.980.000,https://articulo.mercadolibre.com.co/MCO-1324093253-computador-portatil-hp-ryzen-5-16gb-ram-500gb-ssd-disco-win-_JM#position=42&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Intel Core I3 10100 Uhd 630 1tb 16gb Pc Led 22,1.699.900,https://articulo.mercadolibre.com.co/MCO-616099124-computador-intel-core-i3-10100-uhd-630-1tb-16gb-pc-led-22-_JM#position=43&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portatil Lenovo Amd Ryzen 5 Ram 8gb Ssd 1000gb Gr,2.095.000,https://articulo.mercadolibre.com.co/MCO-1359668831-computador-portatil-lenovo-amd-ryzen-5-ram-8gb-ssd-1000gb-gr-_JM#position=44&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
"Mouse 
gamer vertical inalámbrico recargable Weibo  WB-881 negro",28.583,https://www.mercadolibre.com.co/mouse-gamer-vertical-inalambrico-recargable-weibo-wb-881-negro/p/MCO16051104?pdp_filters=category:MCO1648#searchVariation=MCO16051104&position=6&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computadora Portatil Para Juegos Acer Nitro 5,16.893.900,https://articulo.mercadolibre.com.co/MCO-1347277149-computadora-portatil-para-juegos-acer-nitro-5-_JM#position=45&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Todo En Uno 22-dd2016la Intel Core I3 1215u Ram 8gb Ssd 256gb Freedos Color Negro,1.799.900,https://www.mercadolibre.com.co/todo-en-uno-22-dd2016la-intel-core-i3-1215u-ram-8gb-ssd-256gb-freedos-color-negro/p/MCO27703333?pdp_filters=category:MCO1648#searchVariation=MCO27703333&position=11&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portatil Acer Amd Ryzen 5 Ram 8gb Ssd 256gb Gráfi,1.859.000,https://articulo.mercadolibre.com.co/MCO-2015326138-computador-portatil-acer-amd-ryzen-5-ram-8gb-ssd-256gb-grafi-_JM#position=46&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Pc Escrit. Corei5 10ge Ssd 512gb Ram8gb Monitor 22 Pulgadas,1.889.000,https://articulo.mercadolibre.com.co/MCO-1295090201-pc-escrit-corei5-10ge-ssd-512gb-ram8gb-monitor-22-pulgadas-_JM#position=47&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
"Computador Portatil Asusx415ja Core I3 12ram Ssd 256gb 15,6 ",1.499.900,https://articulo.mercadolibre.com.co/MCO-1365419321-computador-portatil-asusx415ja-core-i3-12ram-ssd-256gb-156-_JM#position=48&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Lenovo 15amn8 Ryzen 5 7520u - 8gb - 512gb - 15 ,1.679.900,https://articulo.mercadolibre.com.co/MCO-1354850065-computador-lenovo-15amn8-ryzen-5-7520u-8gb-512gb-15-_JM#position=49&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Apple Mac Mini M2 8gb Ram 256gb Ssd,3.029.990,https://www.mercadolibre.com.co/apple-mac-mini-m2-8gb-ram-256gb-ssd/p/MCO22934159?pdp_filters=category:MCO1648#searchVariation=MCO22934159&position=13&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portatil Hp Ryzen 5 20gb Ram 1tera Ssd Disco Win,2.450.000,https://articulo.mercadolibre.com.co/MCO-1339853465-computador-portatil-hp-ryzen-5-20gb-ram-1tera-ssd-disco-win-_JM#position=50&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Torre Cpu Gamer Ryzen 5 5600g Vega 7 Ssd 1tb 16gb Led 22 Pc,2.569.000,https://articulo.mercadolibre.com.co/MCO-1675236158-torre-cpu-gamer-ryzen-5-5600g-vega-7-ssd-1tb-16gb-led-22-pc-_JM#position=51&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Aio 3 Lenovo Intel Ci 5 8gb 512gb Ideacentre 23.8 Negro,2.950.000,https://www.mercadolibre.com.co/aio-3-lenovo-intel-ci-5-8gb-512gb-ideacentre-238-negro/p/MCO26034470?pdp_filters=category:MCO1648#searchVariation=MCO26034470&position=15&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portátil Lenovo Ryzen 7 16gb 512gb Ssd + 1tb Ssd,3.599.999,https://articulo.mercadolibre.com.co/MCO-1666932516-computador-portatil-lenovo-ryzen-7-16gb-512gb-ssd-1tb-ssd-_JM#position=52&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Computador Portatil Hp Ryzen 5 20gb Ram 1tera Ssd Disco Win,2.560.000,https://articulo.mercadolibre.com.co/MCO-2086172334-computador-portatil-hp-ryzen-5-20gb-ram-1tera-ssd-disco-win-_JM#position=53&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Cpu Intel Core I5 Tercera Generacion Ssd 480 Gb Ram 8gb,800.000,https://articulo.mercadolibre.com.co/MCO-1285676777-cpu-intel-core-i5-tercera-generacion-ssd-480-gb-ram-8gb-_JM#position=54&search_layout=stack&type=item&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
Monitor Curvo 27 Fhd Diseño Sin Bordes Color Black 100V/240V,699.600,https://www.mercadolibre.com.co/monitor-curvo-27-fhd-diseno-sin-bordes-color-black-100v240v/p/MCO17431651?pdp_filters=category:MCO1648#searchVariation=MCO17431651&position=17&search_layout=stack&type=product&tracking_id=a8038813-e7ef-40e7-a727-8090f9a82202
